feature	importance
sleep_lat_5d_mean_mean	0.0
hr_14d_slope_max	0.0
sleep_lat_7d_cv_min	0.0
hr_14d_slope_std	0.0
hr_14d_cv_min	0.0
hr_14d_cv_std	0.0
sleep_lat_5d_std_max	0.0
hr_14d_std_max	0.0
sleep_lat_5d_cv_std	0.0
hr_14d_slope_min	0.0
rmssd_21d_mean_std	0.0
sleep_lat_7d_cv_max	0.0
sleep_lat_28d_mean_max	0.0
rmssd_28d_cv_min	0.0
rmssd_28d_cv_std	0.0
sleep_lat_21d_cv_max	0.0
rmssd_28d_cv_mean	0.0
rmssd_28d_std_min	0.0
rmssd_28d_std_mean	0.0
rmssd_28d_mean_max	0.0
rmssd_3d_mean_min	0.0
rmssd_28d_mean_mean	0.0
rmssd_21d_autocorr_max	0.0
rmssd_21d_autocorr_min	0.0
rmssd_21d_autocorr_std	0.0
rmssd_28d_cv_max	0.0
rmssd_21d_slope_std	0.0
sleep_lat_28d_std_max	0.0
sleep_lat_28d_cv_min	0.0
rmssd_21d_slope_mean	0.0
rmssd_21d_cv_min	0.0
rmssd_21d_cv_std	0.0
sleep_lat_28d_slope_max	0.0
sleep_lat_28d_autocorr_min	0.0
sleep_lat_28d_autocorr_max	0.0
rmssd_21d_cv_mean	0.0
rmssd_21d_std_max	0.0
sleep_lat_21d_cv_mean	0.0
sleep_lat_21d_std_min	0.0
hr_7d_mean_mean	0.0
hr_5d_mean_max	0.0
sleep_lat_7d_slope_max	0.0
hr_5d_autocorr_min	0.0
hr_5d_autocorr_std	0.0
rmssd_21d_mean_mean	0.0
sleep_lat_7d_autocorr_max	0.0
sleep_lat_14d_mean_mean	0.0
hr_21d_autocorr_min	0.0
sleep_lat_14d_mean_max	0.0
sleep_lat_14d_std_mean	0.0
sleep_lat_14d_std_std	0.0
sleep_lat_14d_std_min	0.0
hr_3d_autocorr_max	0.0
rmssd_3d_std_mean	0.0
hr_3d_autocorr_min	0.0
rmssd_21d_mean_max	0.0
sleep_lat_14d_slope_std	0.0
sleep_lat_14d_slope_max	0.0
hr_3d_cv_mean	0.0
