auc	cohens_d	p_value	ci_lower	ci_upper	n_dep	n_healthy	feature	dataset	stat_type	p_adjusted	status
0.7323369565217391	0.9072066780577891	0.001996007984031936	0.5870089680434507	0.847655332550443	23	32	activity_std_7d_slope	depresjon	standard_deviation	0.08183632734530936	DISCARD
0.5543478260869565	0.3448283798564657	0.22355289421157684	0.5027522634105707	0.7052663492633848	23	32	activity_std_7d_autocorr	depresjon	autocorrelation	0.5548502994011976	DISCARD
0.5991847826086957	0.35349081504153207	0.17564870259481039	0.5087526315789473	0.7402490191804708	23	32	activity_std_14d_mean	depresjon	standard_deviation	0.4801064537591484	DISCARD
0.6752717391304348	0.5637737197424922	0.06786427145708583	0.5411953168044077	0.7961745689655173	23	32	activity_std_14d_std	depresjon	standard_deviation	0.2782435129740519	DISCARD
0.6440217391304348	0.7109781907602518	0.013972055888223553	0.5095083128798504	0.7738642857142858	23	32	activity_std_14d_cv	depresjon	coefficient_of_variation	0.1432135728542914	DISCARD
0.7554347826086957	1.0011095193504644	0.001996007984031936	0.6074902248289346	0.8619581724581725	23	32	activity_std_14d_slope	depresjon	standard_deviation	0.08183632734530936	DISCARD
0.6372282608695652	0.4563371985928141	0.10179640718562874	0.5207629504504504	0.7820164565826332	23	32	activity_std_14d_autocorr	depresjon	autocorrelation	0.3488811849984242	DISCARD
0.6666666666666666	0.36380550824455665	0.5688622754491018	0.5	0.888888888888889	3	16	activity_std_21d_mean	depresjon	standard_deviation	0.7829008649367931	DISCARD
0.5208333333333334	0.07405040569366932	0.8942115768463074	0.5	0.8398809523809525	3	16	activity_std_21d_std	depresjon	standard_deviation	0.932101897899117	DISCARD
0.6875	0.7646729855374188	0.2375249500998004	0.5114285714285713	1.0	3	16	activity_std_21d_cv	depresjon	coefficient_of_variation	0.5618378627360663	DISCARD
0.6875	0.4722640424950036	0.43313373253493015	0.52	0.8777777777777777	3	16	activity_std_21d_slope	depresjon	standard_deviation	0.6950773777121083	DISCARD
0.5833333333333333	0.29099476701259774	0.6866267465069861	0.5	0.9381433823529411	3	16	activity_std_21d_autocorr	depresjon	autocorrelation	0.8303980274744629	DISCARD
0.6440217391304348	0.30383874299717634	0.29141716566866266	0.5194944944944945	0.762788596491228	23	32	rest_ratio_3d_mean	depresjon	mean	0.6180053685731984	DISCARD
0.5285326086956522	0.007017995787393848	0.9820359281437125	0.5027982967380501	0.6631853220215289	23	32	rest_ratio_3d_std	depresjon	standard_deviation	0.9820359281437125	DISCARD
0.6583806818181819	0.28130865982063247	0.3393213572854291	0.5258818276744294	0.8225383297258297	22	32	rest_ratio_3d_cv	depresjon	coefficient_of_variation	0.6262258092510631	DISCARD
0.6345108695652174	0.49708955643488145	0.08782435129740519	0.5144275547684638	0.7742001227208976	23	32	rest_ratio_3d_slope	depresjon	slope	0.3273453093812375	DISCARD
0.6555059523809524	0.5279876107538967	0.08183632734530938	0.514876575630252	0.8036210317460317	21	32	rest_ratio_3d_autocorr	depresjon	autocorrelation	0.32223053892215564	DISCARD
0.6399456521739131	0.28306751853949863	0.32934131736526945	0.5146805745700351	0.7762807450307451	23	32	rest_ratio_5d_mean	depresjon	mean	0.6262258092510631	DISCARD
0.5135869565217391	0.13700780842611585	0.654690618762475	0.5040749912342216	0.6773817927170869	23	32	rest_ratio_5d_std	depresjon	standard_deviation	0.8258029395753946	DISCARD
0.6740056818181819	0.24441332137984473	0.4151696606786427	0.5186507936507937	0.8066950757575757	22	32	rest_ratio_5d_cv	depresjon	coefficient_of_variation	0.6950773777121083	DISCARD
0.5461956521739131	0.13117706887144043	0.6646706586826348	0.5039126016260163	0.6819166901210245	23	32	rest_ratio_5d_slope	depresjon	slope	0.8258029395753946	DISCARD
0.5699404761904762	0.2689745566225502	0.3473053892215569	0.50546875	0.7291180124223603	21	32	rest_ratio_5d_autocorr	depresjon	autocorrelation	0.6262258092510631	DISCARD
0.6413043478260869	0.27682430014480813	0.32335329341317365	0.5080282471411504	0.7706832581305502	23	32	rest_ratio_7d_mean	depresjon	mean	0.6262258092510631	DISCARD
0.5502717391304348	0.23723841514226707	0.4151696606786427	0.5057142857142857	0.7089661976025613	23	32	rest_ratio_7d_std	depresjon	standard_deviation	0.6950773777121083	DISCARD
0.6910511363636364	0.23147931225313748	0.42115768463073855	0.5303031186612577	0.8016498729121279	22	32	rest_ratio_7d_cv	depresjon	coefficient_of_variation	0.6950773777121083	DISCARD
0.5203804347826086	0.023792981255793617	0.9580838323353293	0.5013765773571491	0.667749268394649	23	32	rest_ratio_7d_slope	depresjon	slope	0.9659369785020124	DISCARD
0.5610119047619047	0.19899712394374866	0.49700598802395207	0.5063419913419913	0.715204127084932	21	32	rest_ratio_7d_autocorr	depresjon	autocorrelation	0.7485029940119761	DISCARD
0.6508152173913043	0.27490432153674665	0.3393213572854291	0.519099271940181	0.7796712884361441	23	32	rest_ratio_14d_mean	depresjon	mean	0.6262258092510631	DISCARD
0.5951086956521738	0.3986422199926718	0.17165668662674652	0.5066595622119817	0.7465592286501377	23	32	rest_ratio_14d_std	depresjon	standard_deviation	0.47985846488840506	DISCARD
0.7272727272727273	0.19841976342215747	0.499001996007984	0.5952142457246088	0.8350347222222223	22	32	rest_ratio_14d_cv	depresjon	coefficient_of_variation	0.7485029940119761	DISCARD
0.5054347826086956	0.098569268813068	0.7305389221556886	0.5013580615942029	0.6663758342602893	23	32	rest_ratio_14d_slope	depresjon	slope	0.8640027637033625	DISCARD
